course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.280.101.10.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.87,3.57,3.73
AS.280.101.06.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.13,4.71,4.38
AS.280.101.04.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.85,3.69,3.38
AS.280.101.02.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.77,4.00,3.79
AS.280.101.09.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.73,4.07,3.80
AS.280.101.05.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,3.57,3.50,3.62
AS.280.101.03.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.57,3.79,3.57
AS.280.101.01.SP24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Spring,Public Health Studies,2.83,3.83,3.75
AS.280.101.07.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.44,2.94,2.88
AS.280.101.05.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.47,3.13,3.07
AS.280.101.09.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.64,3.71,3.50
AS.280.101.03.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,3.00,3.53,3.33
AS.280.101.01.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.54,3.85,3.77
AS.280.101.08.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.80,3.73,3.53
AS.280.101.04.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.77,3.23,3.08
AS.280.101.06.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.80,3.00,3.50
AS.280.101.02.FA24,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2024 Fall,Public Health Studies,2.40,3.07,3.00
AS.280.101.11.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.13,2.94,2.75
AS.280.101.08.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.19,3.00,3.20
AS.280.101.10.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.31,3.44,3.25
AS.280.101.06.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.63,3.56,3.69
AS.280.101.03.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.40,3.31,3.19
AS.280.101.02.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.40,3.40,3.40
AS.280.101.04.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.81,3.06,3.31
AS.280.101.01.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.75,3.50,3.69
AS.280.101.05.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.71,3.44,3.53
AS.280.101.07.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.33,3.19,3.13
AS.280.101.09.SP25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Spring,Public Health Studies,2.86,3.43,3.31
AS.280.101.10.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.43,3.21,2.93
AS.280.101.08.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.15,3.00,2.85
AS.280.101.04.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.38,3.69,3.38
AS.280.101.02.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.73,2.88,3.47
AS.280.101.06.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.69,3.50,3.38
AS.280.101.05.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.47,3.53,3.40
AS.280.101.09.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.44,3.25,3.31
AS.280.101.07.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.33,3.13,2.93
AS.280.101.03.FA25,Introduction to Public Health,"Bulzacchelli, Maria","Bulzacchelli, Maria",2025 Fall,Public Health Studies,2.50,3.69,3.44
