code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.110.100,Data Analytics Workshop,1,"In this two-week pre-college program, students work in groups to construct and present a data analysis project which collects, organizes, cleanses, and visualizes a dataset of their choosing. Topics include exploratory data analysis, data visualization, probability distributions, data scraping and cleansing, the basics of hypothesis testing, and regression modeling. Students will primarily use Microsoft Excel. Programs like Octave (Matlab), and Octoparse, will also be introduced to help students learn the basics of data analytics.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.100.
Data Analytics Workshop.
1 Credit.
In this two-week pre-college program, students work in groups to construct and present a data analysis project which collects, organizes, cleanses, and visualizes a dataset of their choosing. Topics include exploratory data analysis, data visualization, probability distributions, data scraping and cleansing, the basics of hypothesis testing, and regression modeling. Students will primarily use Microsoft Excel. Programs like Octave (Matlab), and Octoparse, will also be introduced to help students learn the basics of data analytics.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.102,College Algebra,4,"This introductory course will create a foundational understanding of topics in Algebra. An emphasis will be on applications to prepare students for future courses like Precalculus or Statistics. After a review of elementary algebra concepts, topics covered include: equations and inequalities, linear equations, exponents and polynomials, factoring, rational expressions and equations, relations and functions, radicals, linear and quadratic equations, higher-degree polynomials, exponential, logarithmic, and rational functions.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.102.
College Algebra.
4 Credits.
This introductory course will create a foundational understanding of topics in Algebra. An emphasis will be on applications to prepare students for future courses like Precalculus or Statistics. After a review of elementary algebra concepts, topics covered include: equations and inequalities, linear equations, exponents and polynomials, factoring, rational expressions and equations, relations and functions, radicals, linear and quadratic equations, higher-degree polynomials, exponential, logarithmic, and rational functions.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.105,Precalculus,4,"This course provides students with the background necessary for the study of calculus. It begins with a review of the coordinate plane, linear equations, and inequalities, and moves purposefully into the study of functions. Students will explore the nature of graphs and deepen their understanding of polynomial, rational, trigonometric, exponential, and logarithmic functions, and will be introduced to complex numbers, parametric equations, and the difference quotient.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.105.
Precalculus.
4 Credits.
This course provides students with the background necessary for the study of calculus. It begins with a review of the coordinate plane, linear equations, and inequalities, and moves purposefully into the study of functions. Students will explore the nature of graphs and deepen their understanding of polynomial, rational, trigonometric, exponential, and logarithmic functions, and will be introduced to complex numbers, parametric equations, and the difference quotient.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.106,Calculus I (Biology and Social Sciences),4,"Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, introduction to differential equations, functions of several variables, linear systems, applications for systems of linear differential equations, probability distributions. Many applications to the biological and social sciences will be discussed.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.106.
Calculus I (Biology and Social Sciences).
4 Credits.
Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, introduction to differential equations, functions of several variables, linear systems, applications for systems of linear differential equations, probability distributions. Many applications to the biological and social sciences will be discussed.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.107,Calculus II (For Biological and Social Science),4,"Differential and integral Calculus. Includes analytic geometry, functions, limits, integrals and derivatives, introduction to differential equations, functions of several variables, linear systems, applications for systems of linear differential equations, probability distributions. Applications to the biological and social sciences will be discussed, and the courses are designed to meet the needs of students in these disciplines. Recommended Course Background: Grade of C- or Better in AS.110.106 or AS.110.108 , or a 5 on the AP AB exam.","FA1, FA2",Quantitative and Mathematical Sciences,,,,"AS.110.107.
Calculus II (For Biological and Social Science).
4 Credits.
Differential and integral Calculus. Includes analytic geometry, functions, limits, integrals and derivatives, introduction to differential equations, functions of several variables, linear systems, applications for systems of linear differential equations, probability distributions. Applications to the biological and social sciences will be discussed, and the courses are designed to meet the needs of students in these disciplines.  Recommended Course Background: Grade of C- or Better in
AS.110.106
or
AS.110.108
, or a 5 on the AP AB exam.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Science and Data (FA2)"
AS.110.108,Calculus I (Physical Sciences & Engineering),4,"Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, polar coordinates, parametric equations, Taylor's theorem and applications, infinite sequences and series. Some applications to the physical sciences and engineering will be discussed, and the courses are designed to meet the needs of students in these disciplines.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.108.
Calculus I (Physical Sciences & Engineering).
4 Credits.
Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, polar coordinates, parametric equations, Taylor's theorem and applications, infinite sequences and series. Some applications to the physical sciences and engineering will be discussed, and the courses are designed to meet the needs of students in these disciplines.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.109,Calculus II (For Physical Sciences and Engineering),4,"Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, polar coordinates, parametric equations, Taylor's theorem and applications, infinite sequences and series. Some applications to the physical sciences and engineering will be discussed, and the courses are designed to meet the needs of students in these disciplines. Recommended Course Background: Grade of C- or Better in AS.110.106 or AS.110.108 , or a 5 on the AP AB exam.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.109.
Calculus II (For Physical Sciences and Engineering).
4 Credits.
Differential and integral calculus. Includes analytic geometry, functions, limits, integrals and derivatives, polar coordinates, parametric equations, Taylor's theorem and applications, infinite sequences and series.  Some applications to the physical sciences and engineering will be discussed, and the courses are designed to meet the needs of students in these disciplines.  Recommended Course Background: Grade of C- or Better in
AS.110.106
or
AS.110.108
, or a 5 on the AP AB exam.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.110,Foundational Mathematics of Artificial Intelligence,1,"As artificial intelligence models like ChatGPT become increasingly capable and part of our everyday life, the need to understand their inner workings intensifies. This course introduces the mathematical and statistical principles behind machine learning and AI technologies. Students will assimilate basic concepts including math models and performance measurement. They will apply software to build machine learning applications that serve as AI building blocks including linear regression, classification trees, neural networks, and reinforcement learning. Participants will be challenged to assess the quality of their analyses to better understand the opportunities for, and the limitations of AI.",FA2,Quantitative and Mathematical Sciences,,,,"AS.110.110.
Foundational Mathematics of Artificial Intelligence.
1 Credit.
As artificial intelligence models like ChatGPT become increasingly capable and part of our everyday life, the need to understand their inner workings intensifies. This course introduces the mathematical and statistical principles behind machine learning and AI technologies. Students will assimilate basic concepts including math models and performance measurement. They will apply software to build machine learning applications that serve as AI building blocks including linear regression, classification trees, neural networks, and reinforcement learning. Participants will be challenged to assess the quality of their analyses to better understand the opportunities for, and the limitations of AI.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.111,Math Modelling,1,Topics will vary by term. Please see the specific term and section for current topics.,FA2,Quantitative and Mathematical Sciences,,,,"AS.110.111.
Math Modelling.
1 Credit.
Topics will vary by term. Please see the specific term and section for current topics.
Distribution Area: Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.110.112,SPARK: Mathematics,1,This Summer Program Advancing Readiness and Knowledge allows incoming students to work through learning modules in the preparation and learning platform ALEKS with the support of a near-peer network. Students will participate synchronously and asynchronously over a two-week period.,FA2,,,,,"AS.110.112.
SPARK: Mathematics.
1 Credit.
This Summer Program Advancing Readiness and Knowledge allows incoming students to work through learning modules in the preparation and learning platform ALEKS with the support of a near-peer network. Students will participate synchronously and asynchronously over a two-week period.
AS Foundational Abilities: Science and Data (FA2)"
