course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
EN.530.111.01.FA24,Intro to MechE Design and CAD,"Marra, Steven","Marra, Steven",2024 Fall,Mechanical Engineering,4.02,4.58,4.29
EN.530.111.01.FA25,Intro to MechE Design and CAD,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,3.93,4.28,4.07
EN.530.111.01.FA25,Intro to MechE Design and CAD,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,3.93,4.18,4.07
EN.530.115.03.FA24,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2024 Fall,Mechanical Engineering,3.23,4.54,4.15
EN.530.115.02.FA24,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2024 Fall,Mechanical Engineering,3.56,4.41,4.00
EN.530.115.04.FA24,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2024 Fall,Mechanical Engineering,3.08,4.67,4.17
EN.530.115.01.FA24,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2024 Fall,Mechanical Engineering,3.07,4.56,4.31
EN.530.115.05.FA25,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,3.22,4.35,4.33
EN.530.115.05.FA25,MechE Freshman Lab I,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,3.22,4.11,4.33
EN.530.115.04.FA25,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,2.76,4.47,3.94
EN.530.115.04.FA25,MechE Freshman Lab I,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,2.76,4.35,3.94
EN.530.115.01.FA25,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,2.90,4.35,4.14
EN.530.115.01.FA25,MechE Freshman Lab I,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,2.90,4.33,4.14
EN.530.115.02.FA25,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,3.27,4.00,3.73
EN.530.115.02.FA25,MechE Freshman Lab I,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,3.27,4.40,3.73
EN.530.115.03.FA25,MechE Freshman Lab I,"Marra, Steven","Marra, Steven",2025 Fall,Mechanical Engineering,2.84,4.47,4.21
EN.530.115.03.FA25,MechE Freshman Lab I,"Murphy, Todd","Murphy, Todd",2025 Fall,Mechanical Engineering,2.84,4.42,4.21
EN.530.116.04.SP24,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,4.10,5.00,4.50
EN.530.116.01.SP24,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,4.30,4.20,4.40
EN.530.116.02.SP24,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.88,4.56,4.41
EN.530.116.03.SP24,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,4.06,4.53,4.12
EN.530.116.05.SP24,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,4.27,4.83,4.25
EN.530.116.02.SP25,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2025 Spring,Mechanical Engineering,4.40,4.50,4.65
EN.530.116.04.SP25,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2025 Spring,Mechanical Engineering,4.17,4.42,4.17
EN.530.116.03.SP25,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2025 Spring,Mechanical Engineering,4.56,4.56,4.28
EN.530.116.01.SP25,MechE Freshman Lab II,"Marra, Steven","Marra, Steven",2025 Spring,Mechanical Engineering,4.08,4.58,4.33
EN.530.123.01.FA24,Introduction to Mechanics I,"Kraemer, David","Kraemer, David",2024 Fall,Mechanical Engineering,2.72,3.42,3.72
EN.530.123.01.FA25,Introduction to Mechanics I,"Kraemer, David","Kraemer, David",2025 Fall,Mechanical Engineering,2.98,4.09,3.95
EN.530.124.01.SP24,Intro to Mechanics II,"Barman, Ishan","Barman, Ishan",2024 Spring,Mechanical Engineering,3.02,3.16,3.97
EN.530.124.01.SP25,Introduction to Mechanics II,"Barman, Ishan","Barman, Ishan",2025 Spring,Mechanical Engineering,2.98,2.91,3.67
EN.530.202.01.SP24,Mechanical Engineering Dynamics,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,4.15,3.42,3.87
EN.530.202.01.SP25,Mechanical Engineering Dynamics,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,3.23,3.20,3.89
EN.530.212.05.SP24,MechE Dynamics Laboratory,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,3.33,3.00,3.50
EN.530.212.01.SP24,MechE Dynamics Laboratory,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,2.69,2.91,3.25
EN.530.212.04.SP24,MechE Dynamics Laboratory,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,3.33,2.82,3.54
EN.530.212.03.SP24,MechE Dynamics Laboratory,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,3.17,3.58,3.92
EN.530.212.02.SP24,MechE Dynamics Laboratory,"Cowan, Noah","Cowan, Noah",2024 Spring,Mechanical Engineering,3.08,3.57,3.75
EN.530.212.02.SP25,MechE Dynamics Laboratory,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,3.07,3.62,3.80
EN.530.212.05.SP25,MechE Dynamics Laboratory,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,3.43,4.13,3.67
EN.530.212.01.SP25,MechE Dynamics Laboratory,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,2.67,3.42,3.47
EN.530.212.04.SP25,MechE Dynamics Laboratory,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,3.08,3.23,3.58
EN.530.212.03.SP25,MechE Dynamics Laboratory,"Belkoff, Stephen","Belkoff, Stephen",2025 Spring,Mechanical Engineering,2.86,3.31,3.67
EN.530.215.01.SP24,Mechanics-Based Design,"El-Awady, Jaafar","El-Awady, Jaafar",2024 Spring,Mechanical Engineering,3.95,3.71,4.35
EN.530.215.01.SP25,Mechanics-Based Design,"Nguyen, Vicky","Nguyen, Vicky",2025 Spring,Mechanical Engineering,3.92,3.95,4.42
EN.530.216.06.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.33,4.78,4.22
EN.530.216.01.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.90,4.70,4.50
EN.530.216.02.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.20,4.40,3.90
EN.530.216.05.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.33,4.75,4.56
EN.530.216.04.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.25,4.78,4.22
EN.530.216.03.SP24,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2024 Spring,Mechanical Engineering,3.89,4.33,4.22
EN.530.216.04.SP25,Mechanics Based Design Laboratory,"Marra, Steven","Marra, Steven",2025 Spring,Mechanical Engineering,3.56,4.75,4.36
