code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
EN.520.123,First Year ECE Seminar,3,"In this course, the students will acquire the skills of solving complex real world Electrical and Computer Engineering problems using computational modeling tools. This course will covert two aspects ofsolving those ECE problems. The first aspect consists of learning to map ECE tasks to mathematical models. The second aspect consists of introducing the students to the basic of computational algorithms needed to work with the models, and programming such algorithms in MATLAB. Recommended courses: Calculus I ( AS.110.106 OR AS.110.108 ) AND Physics I ( AS.171.101 OR AS.171.105 OR AS.171.107 OR EN.530.123 )",FA2,Engineering,,,,"EN.520.123.
First Year ECE Seminar.
3 Credits.
In this course, the students will acquire the skills of solving complex real world Electrical and Computer Engineering problems using computational modeling tools. This course will covert two aspects ofsolving those ECE problems. The first aspect consists of learning to map ECE tasks to mathematical models. The second aspect consists of introducing the students to the basic of computational algorithms needed to work with the models, and programming such algorithms in MATLAB.  Recommended courses: Calculus I (
AS.110.106
OR
AS.110.108
) AND Physics I (
AS.171.101
OR
AS.171.105
OR
AS.171.107
OR
EN.530.123
)
Distribution Area: Engineering
AS Foundational Abilities: Science and Data (FA2)"
EN.520.137,First Year ECE Design,4,"This introductory course presents a survey of the field of electrical and computer engineering and is designed to introduce students to the fundamental concepts behind the hardware and software that are ubiquitous in the technology of electronic devices and systems such as computers, telephones, TVs, high-speed communication networks, video games, CDs, modems, robotics, renewable energies and photonics. The course will introduce basic electrical concepts including charge, voltage, current, energy, power, resistance, capacitance, inductance, and Kirchoff’s laws. Practical digital and analog electronic systems will also be introduced to illustrate advanced topics that are covered more completely in subsequent electrical and computer engineering courses. Prerequisite(s): AS.110.106 OR AS.110.108",FA2,"Engineering, Quantitative and Mathematical Sciences","AS.110.106, AS.110.108","AS.110.106
OR
AS.110.108",,"EN.520.137.
First Year ECE Design.
4 Credits.
This introductory course presents a survey of the field of electrical and computer engineering and is designed to introduce students to the fundamental concepts behind the hardware and software that are ubiquitous in the technology of electronic devices and systems such as computers, telephones, TVs, high-speed communication networks, video games, CDs, modems, robotics, renewable energies and photonics. The course will introduce basic electrical concepts including charge, voltage, current, energy, power, resistance, capacitance, inductance, and Kirchoff’s laws. Practical digital and analog electronic systems will also be introduced to illustrate advanced topics that are covered more completely in subsequent electrical and computer engineering courses.
Prerequisite(s):
AS.110.106
OR
AS.110.108
Distribution Area: Engineering, Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
EN.520.142,Digital Systems Fundamentals,3,"Number systems and computer codes, switching functions, minimization of switching functions, Quine - McCluskey method, sequential logic, state tables, memory devices, analysis, and synthesis of synchronous sequential devices.",FA2,"Engineering, Quantitative and Mathematical Sciences",,,,"EN.520.142.
Digital Systems Fundamentals.
3 Credits.
Number systems and computer codes, switching functions, minimization of switching functions, Quine - McCluskey method, sequential logic, state tables, memory devices, analysis, and synthesis of synchronous sequential devices.
Distribution Area: Engineering, Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
EN.520.150,"Light, Image and Vision",3,"This course is designed for beginning undergraduate students and covers the principle of optics and imaging from the human vision perspective. The topics for the course include the basic principles and properties of light, imaging and image formation, optical imaging and display systems, and human vision. The course include bio-weekly labs that allows students to implement and experience the concepts learned during the lectures.",FA2,Engineering,,,,"EN.520.150.
Light, Image and Vision.
3 Credits.
This course is designed for beginning undergraduate students and covers the principle of optics and imaging from the human vision perspective. The topics for the course include the basic principles and properties of light, imaging and image formation, optical imaging and display systems, and human vision.  The course include bio-weekly labs that allows students to implement and experience the concepts learned during the lectures.
Distribution Area: Engineering
AS Foundational Abilities: Science and Data (FA2)"
EN.520.151,ECE Ideation and Design Lab (First Year),1,"Project design course that Complements and/or Builds on Core Knowledge Relevant to Electrical & Computer Engineering with emphasis on multidisciplinary projects. All Projects will be sponsored, have clearly defined objectives, and must yield a Tangible Result at Completion. Project duration can vary between a minimum of 2 semesters and a maximum of 5 years. This course will afford the students the opportunity to use their creativity to innovative and to master critical skills such as: customer/user discovery and product specifications; concept development; trade study; systems engineering and design optimization; root cause; and effective team work. The students will also experience first hand the joys and challenges of the professional world. The course will be actively managed and supervised to represent the most effective industry practices with the instruction team, including guest speakers, providing customized lectures, technical support, and guidance. In addition, the students will have frequent interactions with the project sponsor and their technical staff. Specific projects will be listed on ece.jhu.edu. Students must take the class as a graded course. S/U is not an option. For additional info, see link below: https://engineering.jhu.edu/ece/undergraduate-studies/leading-innovation-design-team/ Prerequisite(s): Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module.",FA2,Engineering,,"Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module.",,"EN.520.151.
ECE Ideation and Design Lab (First Year).
1 Credit.
Project design course that Complements and/or Builds on Core Knowledge Relevant to Electrical & Computer Engineering with emphasis on multidisciplinary projects. All Projects will be sponsored, have clearly defined objectives, and must yield a Tangible Result at Completion. Project duration can vary between a minimum of 2 semesters and a maximum of 5 years. This course will afford the students the opportunity to use their creativity to innovative and to master critical skills such as: customer/user discovery and product specifications; concept development; trade study; systems engineering and design optimization; root cause; and effective team work. The students will also experience first hand the joys and challenges of the professional world. The course will be actively managed and supervised to represent the most effective industry practices with the instruction team, including guest speakers, providing customized lectures, technical support, and guidance. In addition, the students will have frequent interactions with the project sponsor and their technical staff. Specific projects will be listed on ece.jhu.edu. Students must take the class as a graded course. S/U is not an option. For additional info, see link below: https://engineering.jhu.edu/ece/undergraduate-studies/leading-innovation-design-team/
Prerequisite(s):
Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module.
Distribution Area: Engineering
AS Foundational Abilities: Science and Data (FA2)"
EN.520.214,Signals and Systems,4,"An introduction to discrete-time and continuous-time signals and systems covers representation of signals and linear time-invariant systems and Fourier analysis. Prerequisite(s): ( AS.110.107 OR AS.110.109 ); AS.110.202 or AS.110.211 , prereq can be taken while taking EN.520.214",FA2,"Engineering, Quantitative and Mathematical Sciences","AS.110.107, AS.110.109, AS.110.202, AS.110.211, EN.520.214","(
AS.110.107
OR
AS.110.109
);
AS.110.202
or
AS.110.211
, prereq can be taken while taking
EN.520.214",,"EN.520.214.
Signals and Systems.
4 Credits.
An introduction to discrete-time and continuous-time signals and systems covers representation of signals and linear time-invariant systems and Fourier analysis.
Prerequisite(s):
(
AS.110.107
OR
AS.110.109
);
AS.110.202
or
AS.110.211
, prereq can be taken while taking
EN.520.214
Distribution Area: Engineering, Quantitative and Mathematical Sciences
AS Foundational Abilities: Science and Data (FA2)"
EN.520.216,Introduction To VLSI,3,"This course teaches the basics of switch-level digital CMOS VLSI design. This includes creating digital gates using MOS transistors as switches, laying out a design using CAD tools, and checking the design for conformance to the Scalable CMOS design rules. Prerequisite(s): ( AS.110.107 OR AS.110.109 ) AND ( AS.171.102 OR AS.171.104 ) AND EN.520.230 AND EN.520.231 AND EN.520.142",FA2,Engineering,"AS.110.107, AS.110.109, AS.171.102, AS.171.104, EN.520.230, EN.520.231, EN.520.142","(
AS.110.107
OR
AS.110.109
) AND (
AS.171.102
OR
AS.171.104
) AND
EN.520.230
AND
EN.520.231
AND
EN.520.142",,"EN.520.216.
Introduction To VLSI.
3 Credits.
This course teaches the basics of switch-level digital CMOS VLSI design.  This includes creating digital gates using MOS transistors as switches, laying out a design using CAD tools, and checking the design for conformance to the Scalable CMOS design rules.
Prerequisite(s):
(
AS.110.107
OR
AS.110.109
) AND (
AS.171.102
OR
AS.171.104
) AND
EN.520.230
AND
EN.520.231
AND
EN.520.142
Distribution Area: Engineering
AS Foundational Abilities: Science and Data (FA2)"
EN.520.219,Introduction to Electromagnetics,3,"Vector analysis, electrostatic fields in vacuum and material media, stationary currents in conducting media, magnetostatic fields in vacuum and material media. Maxwell's equations and time-dependent electric and magnetic fields, electromagnetic waves and radiation, transmission lines, wave guides, applications. Prerequisite(s): Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter Laboratory Safety Introductory Course in the Search Box to access the proper course. Click here to access the Laboratory Safety Introductory Course ; AS.110.109 AND ( AS.171.102 OR AS.171.104 OR AS.171.108 ) AND AS.173.112 ; AS.110.202 may be taken prior to or while enrolled in EN.520.219 .",FA2,"Engineering, Natural Sciences","AS.110.109, AS.171.102, AS.171.104, AS.171.108, AS.173.112, AS.110.202, EN.520.219","Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter Laboratory Safety Introductory Course in the Search Box to access the proper course.
Click here to access the Laboratory Safety Introductory Course
;
AS.110.109
AND (
AS.171.102
OR
AS.171.104
OR
AS.171.108
) AND
AS.173.112
;
AS.110.202
may be taken prior to or while enrolled in
EN.520.219
.",,"EN.520.219.
Introduction to Electromagnetics.
3 Credits.
Vector analysis, electrostatic fields in vacuum and material media, stationary currents in conducting media, magnetostatic fields in vacuum and material media. Maxwell's equations and time-dependent electric and magnetic fields, electromagnetic waves and radiation, transmission lines, wave guides, applications.
Prerequisite(s):
Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter Laboratory Safety Introductory Course in the Search Box to access the proper course.
Click here to access the Laboratory Safety Introductory Course
;
AS.110.109
AND (
AS.171.102
OR
AS.171.104
OR
AS.171.108
) AND
AS.173.112
;
AS.110.202
may be taken prior to or while enrolled in
EN.520.219
.
Distribution Area: Engineering, Natural Sciences
AS Foundational Abilities: Science and Data (FA2)"
EN.520.220,Electromagnetic Waves,3,"Maxwell's equations and time-dependent electric and magnetic fields, electromagnetic waves and radiation, transmission lines, impedance matching networks, waveguides, antennas, and applications. Prerequisite(s): EN.520.219",FA2,"Engineering, Natural Sciences",EN.520.219,EN.520.219,,"EN.520.220.
Electromagnetic Waves.
3 Credits.
Maxwell's equations and time-dependent electric and magnetic fields, electromagnetic waves and radiation, transmission lines, impedance matching networks, waveguides, antennas, and applications.
Prerequisite(s):
EN.520.219
Distribution Area: Engineering, Natural Sciences
AS Foundational Abilities: Science and Data (FA2)"
EN.520.225,Advanced Digital Systems,3,"Students are introduced to Hardware Description Languages (HDL) through the assembly of virtual versions of the digital parts used in the previous semester's Digital Systems Fundamentals. From this point on, new components called modules are created as needed to implement larger digital circuits. Increasingly complex digital systems are then created through stages such as desktop calculators, and culminating in the design of microcontrollers and microprocessors.The hardware used for the digital systems designed is a custom board containing a Field Programmable Gate Array (FPGA). This board is configured using software on the student's computer, but is designed to standalone. That is, once configured, it no longer needs to be connected to any host computer.The architecture of these complex digital systems starts with Finite State Machines (FSM). Hierarchical FSMs are then covered, followed by traditional two and three bus microprocessor architectures and digital signal processors. Prerequisite(s): EN.520.142",FA2,Engineering,EN.520.142,EN.520.142,,"EN.520.225.
Advanced Digital Systems.
3 Credits.
Students are introduced to Hardware Description Languages (HDL) through the assembly of virtual versions of the digital parts used in the previous semester's Digital Systems Fundamentals. From this point on, new components called modules are created as needed to implement larger digital circuits.  Increasingly complex digital systems are then created through stages such as desktop calculators, and culminating in the design of microcontrollers and microprocessors.The hardware used for the digital systems designed is a custom board containing a Field Programmable Gate Array (FPGA).  This board is configured using software on the student's computer, but is designed to standalone.  That is, once configured, it no longer needs to be connected to any host computer.The architecture of these complex digital systems starts with Finite State Machines (FSM).  Hierarchical FSMs are then covered, followed by traditional two and three bus microprocessor architectures and digital signal processors.
Prerequisite(s):
EN.520.142
Distribution Area: Engineering
AS Foundational Abilities: Science and Data (FA2)"
