course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.130.101.01.SP25,Ancient Middle Eastern Civilizations,"Schwartz, Glenn","Schwartz, Glenn",2025 Spring,Near Eastern Studies,3.07,4.20,4.00
AS.130.136.01.SP25,History of Hasidism,"Katz, David","Katz, David",2025 Spring,Near Eastern Studies,2.33,4.36,4.00
AS.130.154.01.FA24,Giving Birth and Coming to Life in Ancient Egypt: The Tree and the Fruit,"Arnette, Marie-Lys","Arnette, Marie-Lys",2024 Fall,Near Eastern Studies,2.38,5.00,4.75
AS.130.155.01.SP25,Sacred Signs:  The History and Mystery of Egyptian Hieroglyphs,"Jasnow, Richard","Jasnow, Richard",2025 Spring,Near Eastern Studies,2.50,4.33,4.00
AS.130.156.01.FA25,"It's Pharaonic Egypt, hon! Intro to Anc Egyptian Culture, Society & Art at the Walters Art Museum","Arnette, Marie-Lys","Arnette, Marie-Lys",2025 Fall,Near Eastern Studies,2.64,5.00,4.91
AS.130.177.01.SP24,World Prehistory: An Anthropological Perspective,"Harrower, Michael","Harrower, Michael",2024 Spring,Near Eastern Studies,2.62,4.57,4.07
AS.130.177.01.SP25,World Prehistory: An Anthropological Perspective,"Harrower, Michael","Harrower, Michael",2025 Spring,Near Eastern Studies,3.12,4.08,3.88
AS.130.214.01.FA24,The Origins of Civilization: A Cross-Cultural Perspective,"Schwartz, Glenn","Schwartz, Glenn",2024 Fall,Near Eastern Studies,3.00,4.25,3.88
AS.130.216.01.SP24,"History of the Jews in Pre-Modern Times, from the Middle Ages to 1789","Katz, David","Katz, David",2024 Spring,Near Eastern Studies,2.79,4.13,3.93
AS.130.216.01.FA24,"History of the Jews in Pre-Modern Times, from the Middle Ages to 1789","Katz, David","Katz, David",2024 Fall,Near Eastern Studies,2.50,4.67,4.67
AS.130.216.01.SP25,"History of the Jews in Pre-Modern Times, From the Middle-Ages to 1600","Katz, David","Katz, David",2025 Spring,Near Eastern Studies,2.63,3.94,3.94
AS.130.216.01.FA25,"History of the Jews in Pre-Modern Times, from the Middle Ages to 1789","Katz, David","Katz, David",2025 Fall,Near Eastern Studies,2.29,4.60,4.20
AS.130.271.01.FA25,"Scribes, Scribal Education, and Literacy in the Ancient Middle East","Qi, Grace","Qi, Grace",2025 Fall,Near Eastern Studies,2.20,4.83,4.33
AS.130.300.01.FA25,History of Ancient Mesopotamia,"Delnero, Paul","Delnero, Paul",2025 Fall,Near Eastern Studies,4.20,3.80,4.50
AS.130.354.01.FA24,Archaeological Method and Theory,"Harrower, Michael","Harrower, Michael",2024 Fall,Near Eastern Studies,3.00,4.86,4.86
AS.130.357.01.SP25,Geographic Information Systems in Archaeology,"Harrower, Michael","Harrower, Michael",2025 Spring,Near Eastern Studies,2.58,4.33,4.00
AS.130.364.01.FA25,Archaeology of Arabia,"Harrower, Michael","Harrower, Michael",2025 Fall,Near Eastern Studies,2.86,4.57,4.14
AS.130.366.01.FA24,Reading the Talmud in Pre-modern Jewish Culture. Attempting to Cope With Abusive Husbands: Annullment of Marriage in the Literature of Post Talmudic Rabbinic Juadism,"Katz, David","Katz, David",2024 Fall,Near Eastern Studies,2.00,4.00,3.91
AS.130.420.01.FA25,Research Methods: Arts of the Mesopotamian World: Crafters & Consumers,"Feldman, Marian","Feldman, Marian",2025 Fall,Near Eastern Studies,3.14,5.00,5.00
