code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.180.101,Elements of Macroeconomics,3,"An introduction to the economic system and economic analysis, with emphasis on total national income and output, employment, the price level and inflation, money, the government budget, the national debt, and interest rates. The role of public policy. Applications of economic analysis to government and personal decisions. Prerequisite: basic facility with graphs and algebra.","FA2, FA4","Quantitative and Mathematical Sciences, Social and Behavioral Sciences",,,,"AS.180.101.
Elements of Macroeconomics.
3 Credits.
An introduction to the economic system and economic analysis, with emphasis on total national income and output, employment, the price level and inflation, money, the government budget, the national debt, and interest rates. The role of public policy. Applications of economic analysis to government and personal decisions. Prerequisite: basic facility with graphs and algebra.
Distribution Area: Quantitative and Mathematical Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Citizens and Society (FA4)
EN Foundational Abilities: Engagement with Society (FA4)"
AS.180.102,Elements of Microeconomics,3,"An introduction to the economic system and economic analysis, with an emphasis on demand and supply, relative prices, the allocation of resources, and the distribution of goods and services. It covers the theory of consumer behavior, the theory of the firm, and competition and monopoly, including the application of microeconomic analysis to contemporary problems. The course includes lectures twice a week, each 75 minutes, and a TA session once a week for 50 minutes. The TA session is highly recommended, and attendance in both the lecture class and TA section is crucial for a better performance in the course. Students must check the dates and times of the TA sections before registering for a particular section.","FA2, FA5",Social and Behavioral Sciences,,,,"AS.180.102.
Elements of Microeconomics.
3 Credits.
An introduction to the economic system and economic analysis, with an emphasis on demand and supply, relative prices, the allocation of resources, and the distribution of goods and services. It covers the theory of consumer behavior, the theory of the firm, and competition and monopoly, including the application of microeconomic analysis to contemporary problems. The course includes lectures twice a week, each 75 minutes, and a TA session once a week for 50 minutes. The TA session is highly recommended, and attendance in both the lecture class and TA section is crucial for a better performance in the course. Students must check the dates and times of the TA sections before registering for a particular section.
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
AS.180.118,Reality Roundtable,1,"Each Wednesday, noon, emerging economic issues, identified throughout the semester, are reviewed. A broad group meets, every other week, overseen by Professor's Robert Barbera and Jon Faust. Other participants include economics department faculty and graduate students, and around 10 undergraduates--afforded access by invitation only. Readings are distributed before the Wednesday meeting. The issues discussed are generally controversial. Undergrads are invited to offer opinions. On off weeks, the undergrads will meet with Professor Jon Faust, and the previous week's discussion will be reviewed. Lunch is provided each week.","FA4, FA5",Social and Behavioral Sciences,,,"Other participants include economics department faculty and graduate students, and around 10 undergraduates--afforded access by invitation only.","AS.180.118.
Reality Roundtable.
1 Credit.
Each Wednesday, noon, emerging economic issues, identified throughout the semester, are reviewed. A broad group meets, every other week, overseen by Professor's Robert Barbera and Jon Faust. Other participants include economics department faculty and graduate students, and around 10 undergraduates--afforded access by invitation only. Readings are distributed before the Wednesday meeting. The issues discussed are generally controversial. Undergrads are invited to offer opinions. On off weeks, the undergrads will meet with Professor Jon Faust, and the previous week's discussion will be reviewed. Lunch is provided each week.
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Citizens and Society (FA4),
Ethics and Foundations (FA5)
EN Foundational Abilities: Engagement with Society (FA4)"
AS.180.203,Faculty Research in Economics,1,"This course will consist of a series of informal lectures by various professors in the Department of Economics. Each lecture will consist of a description of a professional research project which he/she has undertaken over the course of his/her professional career. Prerequisite(s): AS.180.101 and AS.180.102 , both may be taken concurrently.",,,"AS.180.101, AS.180.102","AS.180.101
and
AS.180.102
, both may be taken concurrently.",,"AS.180.203.
Faculty Research in Economics.
1 Credit.
This course will consist of a series of informal lectures by various professors in the Department of Economics. Each lecture will consist of a description of a professional research project which he/she has undertaken over the course of his/her professional career.
Prerequisite(s):
AS.180.101
and
AS.180.102
, both may be taken concurrently."
AS.180.210,"Migrating to Opportunity? Economic Evidence from East Asia, the U.S. and the EU",3,"Increased mobility of people across national borders, whether by choice or by force, has become an integral part of the modern world. Using a comparative perspective and an applied economics approach, the course explores the economic and political determinants, and (likely) consequences of migration flows for East Asia, the US and the EU. Lectures, assignments and in class discussions, will be built around the following topics: i) migrants’ self-selection; ii) human capital investment decision-making; iii) remittance decisions and effects; iv) impacts on labor markets of both receiving and sending countries; and v) the economic benefits from immigration. Overall, the course will give students perspective on the why people choose or feel compelled to leave their countries, how receiving countries respond to migrants’ presence, and the key economic policy concerns that are influencing the shaping of immigration policy in East Asia, the US, and the EU. Prerequisite(s): AS.180.101 AND AS.180.102","FA1, FA4, FA6",Social and Behavioral Sciences,"AS.180.101, AS.180.102","AS.180.101
AND
AS.180.102",Writing Intensive,"AS.180.210.
Migrating to Opportunity? Economic Evidence from East Asia, the U.S. and the EU.
3 Credits.
Increased mobility of people across national borders, whether by choice or by force, has become an integral part of the modern world. Using a comparative perspective and an applied economics approach, the course explores the economic and political determinants, and (likely) consequences of migration flows for East Asia, the US and the EU. Lectures, assignments and in class discussions, will be built around the following topics: i) migrants’ self-selection; ii) human capital investment decision-making; iii) remittance decisions and effects; iv) impacts on labor markets of both receiving and sending countries; and v) the economic benefits from immigration. Overall, the course will give students perspective on the why people choose or feel compelled to leave their countries, how receiving countries respond to migrants’ presence, and the key economic policy concerns that are influencing the shaping of immigration policy in East Asia, the US, and the EU.
Prerequisite(s):
AS.180.101
AND
AS.180.102
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Citizens and Society (FA4),
Democracy (FA4.1),
Projects and Methods (FA6)
EN Foundational Abilities: Engagement with Society (FA4)
Writing Intensive"
AS.180.214,The Economic Experience of the BRIC Countries,3,"In 2001, Jim O’Neill, the Chief Economist at Goldman Sachs, coined the acronym BRIC to identify the four large emerging economies, Brazil, Russia, India and China. These economies had an amazing run for the next decade, and emerged as the biggest and fastest growing emerging markets. However, since 2014 there has been some divergence in the BRICs’ economic performance. In this course, we look at the economic experiences of the BRIC countries for the past several decades. We discuss the reasons that contributed to their exceptional growth rates, with particular emphasis on their transformation into market economies, and the reasons for their eventual divergence. We also analyze some of the challenges that these countries continue to face in their development process. Prerequisite(s): AS.180.101 AND AS.180.102","FA1, FA3, FA4",Social and Behavioral Sciences,"AS.180.101, AS.180.102","AS.180.101
AND
AS.180.102",Writing Intensive,"AS.180.214.
The Economic Experience of the BRIC Countries.
3 Credits.
In 2001, Jim O’Neill, the Chief Economist at Goldman Sachs, coined the acronym BRIC to identify the four large emerging economies, Brazil, Russia, India and China. These economies had an amazing run for the next decade, and emerged as the biggest and fastest growing emerging markets. However, since 2014 there has been some divergence in the BRICs’ economic performance. In this course, we look at the economic experiences of the BRIC countries for the past several decades. We discuss the reasons that contributed to their exceptional growth rates, with particular emphasis on their transformation into market economies, and the reasons for their eventual divergence. We also analyze some of the challenges that these countries continue to face in their development process.
Prerequisite(s):
AS.180.101
AND
AS.180.102
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Culture and Aesthetics (FA3),
Citizens and Society (FA4),
Democracy (FA4.1)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)
Writing Intensive"
AS.180.217,Game Theory in Social Sciences,3,"Game Theory is the study of multiple person decision problems in which the well-being of a decision maker depends not only on his own actions but also on those of others. Such problems arise frequently in economics, political science, business, military science and many other areas. In this course, we will learn how to model different social situations as games and how to use solution concepts to understand players' behavior. We will consider various examples from different fields and will play several games in class. The emphasis of the class is on the conceptual analysis and applications and we will keep the level of mathematical technicalities at the minimum -- high school algebra and one term of calculus will be sufficient. Students who took AS.180.117 are not eligible to take AS.180.217 . Prerequisite(s): Students may not have previously taken AS.180.117.; AS.180.102 or instructor permission","FA2, FA5",Social and Behavioral Sciences,"AS.180.117, AS.180.102","Students may not have previously taken AS.180.117.;
AS.180.102
or instructor permission",,"AS.180.217.
Game Theory in Social Sciences.
3 Credits.
Game Theory is the study of multiple person decision problems in which the well-being of a decision maker depends not only on his own actions but also on those of others. Such problems arise frequently in economics, political science, business, military science and many other areas. In this course, we will learn how to model different social situations as games and how to use solution concepts to understand players' behavior. We will consider various examples from different fields and will play several games in class. The emphasis of the class is on the conceptual analysis and applications and we will keep the level of mathematical technicalities at the minimum -- high school algebra and one term of calculus will be sufficient. Students who took AS.180.117 are not eligible to take
AS.180.217
.
Prerequisite(s):
Students may not have previously taken AS.180.117.;
AS.180.102
or instructor permission
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
AS.180.221,"The Informal Economy: Who Wins, Who Loses, and Why We Care About It.",3,"The informal economy is one of the most complex economic and political phenomena of our time. It exists in rich and poor countries alike, currently employs almost half of the world’s workers, about 1.8 billion people, and totals to economic activity of around $10 trillion. If the informal economy were an independent nation, it would be the second-largest economy in the world, after the United States and before China. In today’s globalizing environment, are informal economies a poverty trap or an engine of growth? Do they stimulate entrepreneurship and popular empowerment, or promote exploitation? How does an improved understanding of the size and organization of informal economies affect service provision, social policy or taxation? What are the implications of the informal economy for social cohesion and popular politics? The proposed course will address these (as well as other) questions related to the informal economy to offer students an understanding of such complex phenomenon from a variety of perspectives. The course will comprise three parts. Part 1 will explore the complexities of the informal economy, and the effects of informality on policies of inclusive growth. Part 2 will draw on empirical evidence and comparative case studies to examine informal economies in various regions, including Africa, East Asia, North and South America, and Europe, highlighting variations in activities, relations with the state, global integration and economic outcomes. Finally, Part 3 will discuss the ongoing economic policy shift from punitive measures to accepting informality as a virtual space through which citizens flow from job-seeker to compliant entrepreneurs. Prerequisite(s): AS.180.101 AND AS.180.102","FA1, FA4, FA5",Social and Behavioral Sciences,"AS.180.101, AS.180.102","AS.180.101
AND
AS.180.102",Writing Intensive,"AS.180.221.
The Informal Economy: Who Wins, Who Loses, and Why We Care About It..
3 Credits.
The informal economy is one of the most complex economic and political phenomena of our time. It exists in rich and poor countries alike, currently employs almost half of the world’s workers, about 1.8 billion people, and totals to economic activity of around $10 trillion. If the informal economy were an independent nation, it would be the second-largest economy in the world, after the United States and before China. In today’s globalizing environment, are informal economies a poverty trap or an engine of growth? Do they stimulate entrepreneurship and popular empowerment, or promote exploitation? How does an improved understanding of the size and organization of informal economies affect service provision, social policy or taxation? What are the implications of the informal economy for social cohesion and popular politics? The proposed course will address these (as well as other) questions related to the informal economy to offer students an understanding of such complex phenomenon from a variety of perspectives. The course will comprise three parts. Part 1 will explore the complexities of the informal economy, and the effects of informality on policies of inclusive growth. Part 2 will draw on empirical evidence and comparative case studies to examine informal economies in various regions, including Africa, East Asia, North and South America, and Europe, highlighting variations in activities, relations with the state, global integration and economic outcomes. Finally, Part 3 will discuss the ongoing economic policy shift from punitive measures to accepting informality as a virtual space through which citizens flow from job-seeker to compliant entrepreneurs.
Prerequisite(s):
AS.180.101
AND
AS.180.102
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Citizens and Society (FA4),
Ethics and Foundations (FA5)
EN Foundational Abilities: Engagement with Society (FA4)
Writing Intensive"
AS.180.223,Economic Development in Sub-Saharan Africa,3,"Many sub-Saharan African countries are among the least developed countries in the world. In this course, we explore the economic development experiences of African countries, with more focus on sub-Saharan Africa. The course starts with a historical perspective, delves into development strategies, and examines evidence on successes and failures of some case study countries. We conclude by analyzing the many challenges that these countries continue to face in their development process. Elements of Microeconomics and Macroeconomics are required prerequisites. There would be group presentations on assigned readings. Prerequisite(s): AS.180.101 AND AS.180.102","FA2, FA4",Social and Behavioral Sciences,"AS.180.101, AS.180.102","AS.180.101
AND
AS.180.102",,"AS.180.223.
Economic Development in Sub-Saharan Africa.
3 Credits.
Many sub-Saharan African countries are among the least developed countries in the world. In this course, we explore the economic development experiences of African countries, with more focus on sub-Saharan Africa. The course starts with a historical perspective, delves into development strategies, and examines evidence on successes and failures of some case study countries. We conclude by analyzing the many challenges that these countries continue to face in their development process. Elements of Microeconomics and Macroeconomics are required prerequisites. There would be group presentations on assigned readings.
Prerequisite(s):
AS.180.101
AND
AS.180.102
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Citizens and Society (FA4),
Democracy (FA4.1)
EN Foundational Abilities: Engagement with Society (FA4)"
AS.180.229,Economics of Health and Education in South Asia,3,"Human capital is an important factor of economic growth in South Asian economies, along with physical capital and technology. Addressing health and education challenges has implications for improving a country’s human capital formation and income growth. In this course, we look at past and present health and educational outcomes in South Asian Countries. We discuss the gaps in access to education and health care services, the quality of education and health care services as well as the impacts on the productivity of the labor force. We also empirically analyze the link between economic growth and human capital development. Furthermore, we focus on some challenges and future policy options for economies in South Asia. Prerequisite(s): AS.180.101 AND AS.180.102","FA1, FA2, FA4",Social and Behavioral Sciences,"AS.180.101, AS.180.102","AS.180.101
AND
AS.180.102",Writing Intensive,"AS.180.229.
Economics of Health and Education in South Asia.
3 Credits.
Human capital is an important factor of economic growth in South Asian economies, along with physical capital and technology. Addressing health and education challenges has implications for improving a country’s human capital formation and income growth. In this course, we look at past and present health and educational outcomes in South Asian Countries. We discuss the gaps in access to education and health care services, the quality of education and health care services as well as the impacts on the productivity of the labor force. We also empirically analyze the link between economic growth and human capital development.  Furthermore, we focus on some challenges and future policy options for economies in South Asia.
Prerequisite(s):
AS.180.101
AND
AS.180.102
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Science and Data (FA2),
Citizens and Society (FA4),
Democracy (FA4.1)
EN Foundational Abilities: Engagement with Society (FA4)
Writing Intensive"
