course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.271.107.01.SP24,Introduction to Sustainability,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2024 Spring,Earth and Planetary Sciences,2.45,3.76,3.64
AS.271.107.01.SP25,Introduction to Sustainability,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2025 Spring,Earth and Planetary Sciences,2.72,3.90,3.75
AS.271.305.01.SP24,Special Topics in Environmental Studies,"Zaitchik, Benjamin","Zaitchik, Benjamin",2024 Spring,Earth and Planetary Sciences,3.11,4.78,4.00
AS.271.305.01.SP24,Special Topics in Environmental Studies,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2024 Spring,Earth and Planetary Sciences,3.11,4.33,4.00
AS.271.308.01.SP25,Sustainability Research Lab,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2025 Spring,Earth and Planetary Sciences,2.67,3.17,4.50
AS.271.308.01.SP25,Sustainability Research Lab,"Karimi, Saman","Karimi, Saman",2025 Spring,Earth and Planetary Sciences,2.67,4.33,4.50
AS.271.315.01.FA24,"Environmental Film, Art, and Literature","Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2024 Fall,Earth and Planetary Sciences,2.63,3.57,3.43
AS.271.315.01.FA25,"Environmental Film, Art, and Literature","Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2025 Fall,Earth and Planetary Sciences,2.40,4.30,4.10
AS.271.345.01.SP25,Society and Nature Conflicts: Interdisciplinary Approaches to Studying Environmental Problems Over Time,"Avolio, Meghan","Avolio, Meghan",2025 Spring,Earth and Planetary Sciences,2.73,4.64,4.55
AS.271.399.01.SP25,Research Design,"Burgess, Jerry","Burgess, Jerry",2025 Spring,Earth and Planetary Sciences,3.17,4.17,4.17
AS.271.402.01.FA24,"Water, Energy, and Food Nexus","Burgess, Jerry","Burgess, Jerry",2024 Fall,Earth and Planetary Sciences,2.69,4.92,4.69
AS.271.496.01.FA24,Senior Capstone,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2024 Fall,Earth and Planetary Sciences,2.87,1.47,3.00
AS.271.496.01.FA25,Senior Capstone,"Kopelent-Rehak, Jana","Kopelent-Rehak, Jana",2025 Fall,Earth and Planetary Sciences,3.38,2.63,3.69
AS.271.499.01.FA24,Senior Seminar,"Burgess, Jerry","Burgess, Jerry",2024 Fall,Earth and Planetary Sciences,1.86,4.50,2.93
AS.271.499.01.FA24,Senior Seminar,"Santos-Rivera, Amailie","Santos-Rivera, Amailie",2024 Fall,Earth and Planetary Sciences,1.86,3.14,2.93
AS.271.499.01.FA25,Senior Seminar,"Burgess, Jerry","Burgess, Jerry",2025 Fall,Earth and Planetary Sciences,2.00,4.55,3.60
AS.271.499.01.FA25,Senior Seminar,"Joseph, Lemoine","Joseph, Lemoine",2025 Fall,Earth and Planetary Sciences,2.00,4.48,3.60
