course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
EN.500.101.01.FA24,What Is Engineering?,"VerHulst, Claire","VerHulst, Claire",2024 Fall,General Engineering,3.17,4.17,3.50
EN.500.101.01.FA25,What Is Engineering?,"VerHulst, Claire","VerHulst, Claire",2025 Fall,General Engineering,2.50,4.83,3.83
EN.500.103.01.FA24,Hopkins Engineering Sampler Seminar,"Boone, Antonio","Boone, Antonio",2024 Fall,General Engineering,1.50,4.60,3.22
EN.500.103.01.FA25,Hopkins Engineering Sampler Seminar,"Wiseman, Andrea","Wiseman, Andrea",2025 Fall,General Engineering,1.33,3.67,2.60
EN.500.111.15.FA24,Hopkins Engineering Applications & Research Tutorials,"Cao, Di","Cao, Di",2024 Fall,General Engineering,1.25,4.57,3.71
EN.500.111.10.FA24,Hopkins Engineering Applications & Research Tutorials,"Huang, Ziting","Huang, Ziting",2024 Fall,General Engineering,2.00,4.50,3.75
EN.500.111.05.FA24,Hopkins Engineering Applications & Research Tutorials,"Titi, Aseel","Titi, Aseel",2024 Fall,General Engineering,1.80,3.60,3.60
EN.500.111.16.FA24,Hopkins Engineering Applications & Research Tutorials,"Nixon, Kristen","Nixon, Kristen",2024 Fall,General Engineering,1.33,4.83,4.17
EN.500.111.08.FA24,Hopkins Engineering Applications & Research Tutorials,Fernandez Brillet + Quinn,"Fernandez Brillet, Celia + Quinn, Kiara",2024 Fall,General Engineering,2.00,5.00,4.63
EN.500.111.03.FA24,Hopkins Engineering Applications & Research Tutorials,"Ahmad, Zan","Ahmad, Zan",2024 Fall,General Engineering,2.00,3.90,4.11
EN.500.111.14.FA24,Hopkins Engineering Applications & Research Tutorials,"Lim, Josiah","Lim, Josiah",2024 Fall,General Engineering,1.20,5.00,4.40
EN.500.111.07.FA24,Hopkins Engineering Applications & Research Tutorials,"Gill, Amy","Gill, Amy",2024 Fall,General Engineering,1.57,4.29,4.29
EN.500.111.12.FA24,Hopkins Engineering Applications & Research Tutorials,"Jain, Manav","Jain, Manav",2024 Fall,General Engineering,1.67,4.83,4.18
EN.500.111.06.FA24,Hopkins Engineering Applications & Research Tutorials,"Kumar, Avisha","Kumar, Avisha",2024 Fall,General Engineering,1.44,4.55,3.91
EN.500.111.11.FA24,Hopkins Engineering Applications & Research Tutorials,"Brown, Nathan","Brown, Nathan",2024 Fall,General Engineering,1.60,4.60,4.00
EN.500.111.01.FA25,Hopkins Engineering Applications & Research Tutorials,"Lim, Josiah","Lim, Josiah",2025 Fall,General Engineering,1.64,5.00,4.75
EN.500.111.05.FA25,Hopkins Engineering Applications & Research Tutorials,"Ariail, Emily","Ariail, Emily",2025 Fall,General Engineering,1.67,4.40,4.13
EN.500.111.04.FA25,Hopkins Engineering Applications & Research Tutorials,"Saha, Indrashish","Saha, Indrashish",2025 Fall,General Engineering,1.86,4.38,4.13
