course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.212.302.01.SP25,Intensités: Récits Brefs de Langue Française,"Abdulaziz, Safa","Abdulaziz, Safa",2025 Spring,German and Romance Languages and Literatures,2.75,5.00,4.75
AS.212.333.01.FA24,Introduction à la littérature française I,"Russo, Elena","Russo, Elena",2024 Fall,German and Romance Languages and Literatures,4.00,4.67,4.83
AS.212.333.01.FA25,Introduction à la littérature française I,"Russo, Elena","Russo, Elena",2025 Fall,German and Romance Languages and Literatures,3.00,4.22,4.44
AS.212.334.01.SP24,Introduction à la littérature française II,"Desormeaux, Daniel","Desormeaux, Daniel",2024 Spring,German and Romance Languages and Literatures,3.56,4.70,4.70
AS.212.340.01.SP25,"Topics in French Cinema: Immigration, identité, différence culturelle","Roos, Suzanne","Roos, Suzanne",2025 Spring,German and Romance Languages and Literatures,3.07,4.53,4.13
AS.212.353.01.SP24,La France Contemporaine,"Wuensch, April","Wuensch, April",2024 Spring,German and Romance Languages and Literatures,2.73,3.73,3.82
AS.212.354.01.FA25,Le monde francophone,"Anderson, Bruce","Anderson, Bruce",2025 Fall,German and Romance Languages and Literatures,2.22,5.00,4.44
AS.212.370.01.SP24,Poe's haunting shadow: Tracing Poe's impact on 19th-century French writers,"Mariot, Manon","Mariot, Manon",2024 Spring,German and Romance Languages and Literatures,2.63,5.00,4.88
AS.212.404.01.SP25,"Les Revenants: Fiction, Histoire et Société","Desormeaux, Daniel","Desormeaux, Daniel",2025 Spring,German and Romance Languages and Literatures,3.57,4.57,4.43
AS.212.405.01.SP25,Women's Life Writing in French,"Russo, Elena","Russo, Elena",2025 Spring,German and Romance Languages and Literatures,3.50,4.63,4.88
AS.212.426.01.SP24,Penser l'Animal de l'Ancien Régime à la Belle Epoque,"Loiselle, Ken","Loiselle, Ken",2024 Spring,German and Romance Languages and Literatures,3.50,5.00,4.83
AS.212.427.01.SP25,Paris: La biographie d'une ville,"Loiselle, Ken","Loiselle, Ken",2025 Spring,German and Romance Languages and Literatures,3.00,4.43,4.43
AS.212.436.01.FA25,"Love, from Beginning to End","Russo, Elena","Russo, Elena",2025 Fall,German and Romance Languages and Literatures,3.14,4.57,4.86
