code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.133.304,Let's Play! Games from Ancient Egypt and Beyond,3,"The ancient Egyptians played many games, as we do today. Board games, ball games, games of skill, etc., were not only part of daily life, but also had a role to play in religious practices and beliefs. Although the rules of the games are largely unknown to us, archaeological objects, funerary images, and texts help us to better understand their roles and meanings in ancient Egyptian culture. These various sources also show how games reflect (or contradict) some facets of the organization of the society, and reveal how the ancient Egyptians perceived some aspects of their world - social hierarchy, gender division, representation of death, relationship to chance/fate/divine will, etc. This course will present the evolution of games and play in Ancient Egypt from the 4th millennium BCE, with the first board game discovered in the tomb of a woman, through those deposited in the tomb of Tutankhamun, and up to the Roman period. By replacing the games in their archaeological, historical and cultural contexts, the course is also intended as an original introduction to the civilization of ancient Egypt. The course will consist mainly of lectures given by the professor, with several guest researchers. Examinations will be divided into three parts: two knowledge quizzes during the semester; at the end of the semester, an essay on an Egyptian game of the student's choice.","FA3, FA4",Humanities,,,,"AS.133.304.
Let's Play! Games from Ancient Egypt and Beyond.
3 Credits.
The ancient Egyptians played many games, as we do today. Board games, ball games, games of skill, etc., were not only part of daily life, but also had a role to play in religious practices and beliefs. Although the rules of the games are largely unknown to us, archaeological objects, funerary images, and texts help us to better understand their roles and meanings in ancient Egyptian culture. These various sources also show how games reflect (or contradict) some facets of the organization of the society, and reveal how the ancient Egyptians perceived some aspects of their world - social hierarchy, gender division, representation of death, relationship to chance/fate/divine will, etc. This course will present the evolution of games and play in Ancient Egypt from the 4th millennium BCE, with the first board game discovered in the tomb of a woman, through those deposited in the tomb of Tutankhamun, and up to the Roman period. By replacing the games in their archaeological, historical and cultural contexts, the course is also intended as an original introduction to the civilization of ancient Egypt. The course will consist mainly of lectures given by the professor, with several guest researchers. Examinations will be divided into three parts: two knowledge quizzes during the semester; at the end of the semester, an essay on an Egyptian game of the student's choice.
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.133.418,"Egyptian Art & Material Culture: Principles, Materiality and Challenges",3,"This course is dedicated to the study of the art and material culture of ancient Egypt, spanning from the 5th millennium BCE to the Roman period. The objective of the course is to provide students with a comprehensive understanding of Egyptian art, with a focus on materiality, effective methods of description and analysis, and a command of bibliography. It will also enable students to practice two fundamental aspects of their future professional life: presenting a paper at a conference and submitting an article to an academic journal. In the initial sessions, we will examine the fundamental principles and conventions that define Egyptian art. We will then investigate the natural resources available to Egyptian craftsmen and artists, including nature, origin, networks, and uses. We will analyze the production of works of art through several case studies, focusing on materiality. Finally, we will reflect on the presence of Egyptian works of art in museums around the world. Moreover, the course will provide an opportunity for discourse on professional matters pertaining to engagement with Egyptian antiquities and works of art. The course will be structured around: lectures by the professor or by guest researchers, with the students participating in a dialogue with the lecturers; sessions dedicated to discussions of articles to be read (with two/three articles per session); oral presentations by the students, with the aim of reproducing the conditions of a colloquium or conference. These will include formal presentations and question-and-answer sessions, with all students taking part.At the conclusion of the semester, students will be required to submit a paper in connection with the oral presentation they have prepared. This paper will be presented as a scientific article, and the instructor will evaluate it in the same manner as an anonymous referee.","FA1, FA3",Humanities,,,,"AS.133.418.
Egyptian Art & Material Culture: Principles, Materiality and Challenges.
3 Credits.
This course is dedicated to the study of the art and material culture of ancient Egypt, spanning from the 5th millennium BCE to the Roman period. The objective of the course is to provide students with a comprehensive understanding of Egyptian art, with a focus on materiality, effective methods of description and analysis, and a command of bibliography. It will also enable students to practice two fundamental aspects of their future professional life: presenting a paper at a conference and submitting an article to an academic journal. In the initial sessions, we will examine the fundamental principles and conventions that define Egyptian art. We will then investigate the natural resources available to Egyptian craftsmen and artists, including nature, origin, networks, and uses. We will analyze the production of works of art through several case studies, focusing on materiality. Finally, we will reflect on the presence of Egyptian works of art in museums around the world. Moreover, the course will provide an opportunity for discourse on professional matters pertaining to engagement with Egyptian antiquities and works of art. The course will be structured around: lectures by the professor or by guest researchers, with the students participating in a dialogue with the lecturers; sessions dedicated to discussions of articles to be read (with two/three articles per session); oral presentations by the students, with the aim of reproducing the conditions of a colloquium or conference. These will include formal presentations and question-and-answer sessions, with all students taking part.At the conclusion of the semester, students will be required to submit a paper in connection with the oral presentation they have prepared. This paper will be presented as a scientific article, and the instructor will evaluate it in the same manner as an anonymous referee.
Distribution Area: Humanities
AS Foundational Abilities: Writing and Communication (FA1),
Culture and Aesthetics (FA3)
EN Foundational Abilities: Creative Expression (FA3)"
AS.133.451,Workshop: Egyptian Objects from Eton College Myers Collection at the JHU Arch Museum,3,"This course is designed as a workshop in which students will actively participate in the study of unpublished Egyptian objects currently housed at the Johns Hopkins Archaeological Museum. In small groups, students will work in particular on supposedly ludic objects (dice, ball models, pawns, ""dolls"", etc.) from the Eton College Myers Collection. They will participate in cataloguing objects in the museum's database, conduct personal research on a selected set of objects, and produce an exhibit (online/in one of the museum's display cases) that will showcase their research outcomes. Prerequisite(s): AS.130.153 OR AS.133.304 OR AS.133.451","FA1, FA3, FA6",Humanities,"AS.130.153, AS.133.304, AS.133.451","AS.130.153
OR
AS.133.304
OR
AS.133.451",Writing Intensive,"AS.133.451.
Workshop: Egyptian Objects from Eton College Myers Collection at the JHU Arch Museum.
3 Credits.
This course is designed as a workshop in which students will actively participate in the study of unpublished Egyptian objects currently housed at the Johns Hopkins Archaeological Museum. In small groups, students will work in particular on supposedly ludic objects (dice, ball models, pawns, ""dolls"", etc.) from the Eton College Myers Collection. They will participate in cataloguing objects in the museum's database, conduct personal research on a selected set of objects, and produce an exhibit (online/in one of the museum's display cases) that will showcase their research outcomes.
Prerequisite(s):
AS.130.153
OR
AS.133.304
OR
AS.133.451
Distribution Area: Humanities
AS Foundational Abilities: Writing and Communication (FA1),
Culture and Aesthetics (FA3),
Projects and Methods (FA6)
EN Foundational Abilities: Creative Expression (FA3)
Writing Intensive"
AS.133.600,Introduction To Middle Egyptian,3,"Introduction to the grammar and writing system of the classical language of the Egyptian Middle Kingdom (ca. 2135-2000 B.C.). In the second semester, literary texts and royal inscriptions will be read.",,,,,,"AS.133.600.
Introduction To Middle Egyptian.
3 Credits.
Introduction to the grammar and writing system of the classical language of the Egyptian Middle Kingdom (ca. 2135-2000 B.C.).  In the second semester, literary texts and royal inscriptions will be read."
AS.133.610,Middle Egyptian Texts,3,In this course we read a variety of Middle Egyptian hieroglyphic compositions and documents. Knowledge of Middle Egyptian Required.,,,,,,"AS.133.610.
Middle Egyptian Texts.
3 Credits.
In this course we read a variety of Middle Egyptian hieroglyphic compositions and documents. Knowledge of Middle Egyptian Required."
AS.133.611,Middle Egyptian Texts,3,In this course we read a variety of Middle Egyptian hieroglyphic compositions and documents. Knowledge of Middle Egyptian Required.,,Humanities,,,,"AS.133.611.
Middle Egyptian Texts.
3 Credits.
In this course we read a variety of Middle Egyptian hieroglyphic compositions and documents.  Knowledge of Middle Egyptian Required.
Distribution Area: Humanities"
AS.133.616,Let's Play! Games from Ancient Egypt and Beyond,3,"The ancient Egyptians played many games, as we do today. Board games, ball games, games of skill, etc., were not only part of daily life, but also had a role to play in religious practices and beliefs. Although the rules of the games are largely unknown to us, archaeological objects, funerary images, and texts help us to better understand their roles and meanings in ancient Egyptian culture. These various sources also show how games reflect (or contradict) some facets of the organization of the society, and reveal how the ancient Egyptians perceived some aspects of their world - social hierarchy, gender division, representation of death, relationship to chance/fate/divine will, etc. This course will present the evolution of games and play in Ancient Egypt from the 4th millennium BCE, with the first board game discovered in the tomb of a woman, through those deposited in the tomb of Tutankhamun, and up to the Roman period. By replacing the games in their archaeological, historical and cultural contexts, the course is also intended as an original introduction to the civilization of ancient Egypt. The course will consist mainly of lectures given by the professor, with several guest researchers. Examinations will be divided into three parts: two knowledge quizzes during the semester; at the end of the semester, an essay on an Egyptian game of the student's choice.",,Humanities,,,,"AS.133.616.
Let's Play! Games from Ancient Egypt and Beyond.
3 Credits.
The ancient Egyptians played many games, as we do today. Board games, ball games, games of skill, etc., were not only part of daily life, but also had a role to play in religious practices and beliefs. Although the rules of the games are largely unknown to us, archaeological objects, funerary images, and texts help us to better understand their roles and meanings in ancient Egyptian culture. These various sources also show how games reflect (or contradict) some facets of the organization of the society, and reveal how the ancient Egyptians perceived some aspects of their world - social hierarchy, gender division, representation of death, relationship to chance/fate/divine will, etc. This course will present the evolution of games and play in Ancient Egypt from the 4th millennium BCE, with the first board game discovered in the tomb of a woman, through those deposited in the tomb of Tutankhamun, and up to the Roman period. By replacing the games in their archaeological, historical and cultural contexts, the course is also intended as an original introduction to the civilization of ancient Egypt. The course will consist mainly of lectures given by the professor, with several guest researchers. Examinations will be divided into three parts: two knowledge quizzes during the semester; at the end of the semester, an essay on an Egyptian game of the student's choice.
Distribution Area: Humanities"
AS.133.617,Workshop: Egyptian Objects from Eton College Myers Collection at the JHU Arch Museum,3,"This course is designed as a workshop in which students will actively participate in the study of unpublished Egyptian objects currently housed at the Johns Hopkins Archaeological Museum. In small groups, students will work in particular on supposedly ludic objects (dice, ball models, pawns, ""dolls"", etc.) from the Eton College Myers Collection. They will participate in cataloguing objects in the museum's database, conduct personal research on a selected set of objects, and produce an exhibit (online/in one of the museum's display cases) that will showcase their research outcomes.",,Humanities,,,Writing Intensive,"AS.133.617.
Workshop: Egyptian Objects from Eton College Myers Collection at the JHU Arch Museum.
3 Credits.
This course is designed as a workshop in which students will actively participate in the study of unpublished Egyptian objects currently housed at the Johns Hopkins Archaeological Museum. In small groups, students will work in particular on supposedly ludic objects (dice, ball models, pawns, ""dolls"", etc.) from the Eton College Myers Collection. They will participate in cataloguing objects in the museum's database, conduct personal research on a selected set of objects, and produce an exhibit (online/in one of the museum's display cases) that will showcase their research outcomes.
Distribution Area: Humanities
Writing Intensive"
AS.133.618,"Egyptian Art & Material Culture: Principles, Materiality, and Challenges",3,"This course is dedicated to the study of the art and material culture of ancient Egypt, spanning from the 5th millennium BCE to the Roman period. The objective of the course is to provide students with a comprehensive understanding of Egyptian art, with a focus on materiality, effective methods of description and analysis, and a command of bibliography. It will also enable students to practice two fundamental aspects of their future professional life: presenting a paper at a conference and submitting an article to an academic journal. In the initial sessions, we will examine the fundamental principles and conventions that define Egyptian art. We will then investigate the natural resources available to Egyptian craftsmen and artists, including nature, origin, networks, and uses. We will analyze the production of works of art through several case studies, focusing on materiality. Finally, we will reflect on the presence of Egyptian works of art in museums around the world. Moreover, the course will provide an opportunity for discourse on professional matters pertaining to engagement with Egyptian antiquities and works of art. The course will be structured around: lectures by the professor or by guest researchers, with the students participating in a dialogue with the lecturers; sessions dedicated to discussions of articles to be read (with two/three articles per session); oral presentations by the students, with the aim of reproducing the conditions of a colloquium or conference. These will include formal presentations and question-and-answer sessions, with all students taking part.At the conclusion of the semester, students will be required to submit a paper in connection with the oral presentation they have prepared. This paper will be presented as a scientific article, and the instructor will evaluate it in the same manner as an anonymous referee.Restricted to: Near Eastern Studies, Museum Studies, History of Art, or Archaeology students.",,Humanities,,,,"AS.133.618.
Egyptian Art & Material Culture: Principles, Materiality, and Challenges.
3 Credits.
This course is dedicated to the study of the art and material culture of ancient Egypt, spanning from the 5th millennium BCE to the Roman period. The objective of the course is to provide students with a comprehensive understanding of Egyptian art, with a focus on materiality, effective methods of description and analysis, and a command of bibliography. It will also enable students to practice two fundamental aspects of their future professional life: presenting a paper at a conference and submitting an article to an academic journal. In the initial sessions, we will examine the fundamental principles and conventions that define Egyptian art. We will then investigate the natural resources available to Egyptian craftsmen and artists, including nature, origin, networks, and uses. We will analyze the production of works of art through several case studies, focusing on materiality. Finally, we will reflect on the presence of Egyptian works of art in museums around the world. Moreover, the course will provide an opportunity for discourse on professional matters pertaining to engagement with Egyptian antiquities and works of art. The course will be structured around: lectures by the professor or by guest researchers, with the students participating in a dialogue with the lecturers; sessions dedicated to discussions of articles to be read (with two/three articles per session); oral presentations by the students, with the aim of reproducing the conditions of a colloquium or conference. These will include formal presentations and question-and-answer sessions, with all students taking part.At the conclusion of the semester, students will be required to submit a paper in connection with the oral presentation they have prepared. This paper will be presented as a scientific article, and the instructor will evaluate it in the same manner as an anonymous referee.Restricted to:  Near Eastern Studies, Museum Studies, History of Art, or Archaeology students.
Distribution Area: Humanities"
AS.133.619,"Ancient Egyptian Art, A Journey Through Time",3,"The course is devoted to the study of Egyptian art from the Predynastic period to the Roman era. The course is designed to provide students with a comprehensive understanding of the evolution of art history, with a particular focus on the evolution of style, iconography and artistic practices across time. Several thematic sessions will also be dedicated to specific aspects of ancient Egyptian culture (notably related to religion). The course will be primarily based on several key Egyptological collections, including the musée du Louvre, the Egyptian Museum in Cairo, the Metropolitan Museum of Art, and the British Museum. Additionally, the course will include visits to the Johns Hopkins Archaeological Museum and the Walters Art Museum. The course will comprise lectures delivered by the professor, which will be structured chronologically, and discussion sessions with students on the mandatory readings. The examinations will be divided into three sections: an oral presentation of an object selected by the students; an oral presentation of a theme chosen by the students; and the composition of an essay of substantial length on the theme and the object.",,Humanities,,,,"AS.133.619.
Ancient Egyptian Art, A Journey Through Time.
3 Credits.
The course is devoted to the study of Egyptian art from the Predynastic period to the Roman era. The course is designed to provide students with a comprehensive understanding of the evolution of art history, with a particular focus on the evolution of style, iconography and artistic practices across time. Several thematic sessions will also be dedicated to specific aspects of ancient Egyptian culture (notably related to religion). The course will be primarily based on several key Egyptological collections, including the musée du Louvre, the Egyptian Museum in Cairo, the Metropolitan Museum of Art, and the British Museum. Additionally, the course will include visits to the Johns Hopkins Archaeological Museum and the Walters Art Museum. The course will comprise lectures delivered by the professor, which will be structured chronologically, and discussion sessions with students on the mandatory readings. The examinations will be divided into three sections: an oral presentation of an object selected by the students; an oral presentation of a theme chosen by the students; and the composition of an essay of substantial length on the theme and the object.
Distribution Area: Humanities"
